0.636758321,1,uniform,austria
0.608127721,2,uniform,austria
0.633333333,3,uniform,austria
0.608127721,4,uniform,austria
0.597684515,5,uniform,austria
0.642547033,1,tfidf,austria
0.592162554,2,tfidf,austria
0.631884058,3,tfidf,austria
0.625544267,4,tfidf,austria
0.607814761,5,tfidf,austria
0.676363636,1,uniform,denmark
0.627737226,2,uniform,denmark
0.638181818,3,uniform,denmark
0.643636364,4,uniform,denmark
0.629764065,5,uniform,denmark
0.700000000,1,tfidf,denmark
0.664233577,2,tfidf,denmark
0.658181818,3,tfidf,denmark
0.649090909,4,tfidf,denmark
0.638838475,5,tfidf,denmark
0.629770992,1,uniform,germany
0.629063098,2,uniform,germany
0.628352490,3,uniform,germany
0.612284069,4,uniform,germany
0.611111111,5,uniform,germany
0.664122137,1,tfidf,germany
0.674952199,2,tfidf,germany
0.681992337,3,tfidf,germany
0.664107486,4,tfidf,germany
0.674329502,5,tfidf,germany
0.675287356,1,uniform,ireland
0.694083694,2,uniform,ireland
0.704022989,3,uniform,ireland
0.701729107,4,uniform,ireland
0.734195402,5,uniform,ireland
0.686781609,1,tfidf,ireland
0.689754690,2,tfidf,ireland
0.679597701,3,tfidf,ireland
0.708933718,4,tfidf,ireland
0.728448276,5,tfidf,ireland
0.640364188,1,uniform,netherlands
0.600000000,2,uniform,netherlands
0.659090909,3,uniform,netherlands
0.618181818,4,uniform,netherlands
0.595454545,5,uniform,netherlands
0.663125948,1,tfidf,netherlands
0.648484848,2,tfidf,netherlands
0.665151515,3,tfidf,netherlands
0.650000000,4,tfidf,netherlands
0.642424242,5,tfidf,netherlands
0.482695811,1,uniform,poland
0.481751825,2,uniform,poland
0.470909091,3,uniform,poland
0.490875912,4,uniform,poland
0.430127042,5,uniform,poland
0.462659381,1,tfidf,poland
0.492700730,2,tfidf,poland
0.494545455,3,tfidf,poland
0.520072993,4,tfidf,poland
0.459165154,5,tfidf,poland
0.704678363,1,uniform,spain
0.703649635,2,uniform,spain
0.695906433,3,uniform,spain
0.679824561,4,uniform,spain
0.672514620,5,uniform,spain
0.676900585,1,tfidf,spain
0.712408759,2,tfidf,spain
0.673976608,3,tfidf,spain
0.681286550,4,tfidf,spain
0.649122807,5,tfidf,spain
0.596715328,1,uniform,sweden
0.591985428,2,uniform,sweden
0.570909091,3,uniform,sweden
0.571428571,4,uniform,sweden
0.565693431,5,uniform,sweden
0.593065693,1,tfidf,sweden
0.584699454,2,tfidf,sweden
0.572727273,3,tfidf,sweden
0.595238095,4,tfidf,sweden
0.562043796,5,tfidf,sweden
0.636363636,1,uniform,uk
0.625454545,2,uniform,uk
0.669691470,3,uniform,uk
0.653916211,4,uniform,uk
0.612727273,5,uniform,uk
0.625454545,1,tfidf,uk
0.616363636,2,tfidf,uk
0.647912886,3,tfidf,uk
0.622950820,4,tfidf,uk
0.592727273,5,tfidf,uk
